0		0.245
3600	0.115
10800	-0.255
14400	-0.392
21600	-0.409
25200	-0.304
32400	0.066
36000	0.219
43200	0.315
46800	0.249
54000	-0.074
57600	-0.237
64800	-0.337
68400	-0.259
75600	0.027
79200	0.189
86400	0.281
90000	0.236
97200	-0.019
100800	-0.183
108000	-0.308
111600	-0.235
118800	0.075
122400	0.249
129600	0.498
133200	0.495
140400	0.305
144000	0.144
151200	-0.063
154800	-0.07
162000	0.163
165600	0.303
172800	0.61
176400	0.553
183600	0.271
187200	0.098
194400	-0.086
198000	-0.107
205200	0.088
208800	0.222
216000	0.489
219600	0.527
226800	0.364
230400	0.232
237600	0.007
241200	-0.083
248400	-0.006
252000	0.101
259200	0.361
262800	0.392
270000	0.28
273600	0.15
280800	-0.126
284400	-0.201
291600	-0.144
295200	-0.009
302400	0.329
306000	0.417
313200	0.411
316800	0.297
324000	0
327600	-0.116
334800	-0.182
338400	-0.105
345600	0.144
